phrase,frequency
earnings growth,4
cost cuts,4
annual forecasts,4
gas second,4
targets billion,4
credit card,4
retail traders,4
loss drugs,4
high stakes,4
obesity drug,4
maintains annual,4
profit doubles,4
oil surge,4
cuts sales,4
stocks slump,4
big oil,4
dividend payers,4
free cash,4
dividend run,4
raises dividend,4
billion stock,4
stress test,4
financial services,4
stock buybacks,4
million share,4
plans billion,4
nearly billion,4
profit rises,4
glass iphone,4
gain ground,4
restructuring plan,4
cost saving,4
asset management,4
makes first,4
first post,4
take private,4
regulators clear,4
stock gets,4
next months,4
eyes billion,4
test flight,4
closes flat,4
losing streak,4
big share,4
rally cools,4
big things,4
oil traders,4
